# Time (s),Elevation (rad),eta_tot,eta_diff,eta_atm,eta_sys,Distance (m)
2.590000000000000000e+02,1.491597366975644379e-01,2.918669927527576050e-04,2.148865482425281817e-02,4.295124466706417010e-01,3.162277660168379134e-02,1.958836612881161040e+06
2.580000000000000000e+02,1.507840860376348791e-01,2.964379316054361127e-04,2.163895454960844053e-02,4.332090289266564698e-01,3.162277660168379134e-02,1.951954353144473396e+06
2.570000000000000000e+02,1.524160636813063907e-01,3.010772383629086932e-04,2.179079352028401653e-02,4.369229711501607660e-01,3.162277660168379134e-02,1.945073795737449545e+06
2.560000000000000000e+02,1.540557489475866404e-01,3.057861132182859861e-04,2.194419201194142827e-02,4.406544538498844421e-01,3.162277660168379134e-02,1.938194967046032427e+06
2.550000000000000000e+02,1.557032222212153816e-01,3.105657807754983509e-04,2.209917061996692633e-02,4.444036599598770731e-01,3.162277660168379134e-02,1.931317893796157558e+06
2.540000000000000000e+02,1.573585649699127675e-01,3.153650313455023252e-04,2.225575026519169275e-02,4.480962364957562505e-01,3.162277660168379134e-02,1.924442603059581015e+06
2.530000000000000000e+02,1.590218597619469376e-01,3.199746434043800091e-04,2.241395219972263167e-02,4.514369699916357948e-01,3.162277660168379134e-02,1.917569122259817086e+06
2.520000000000000000e+02,1.606931902840318394e-01,3.246528438984922459e-04,2.257379801288544874e-02,4.547938432798556696e-01,3.162277660168379134e-02,1.910697479178203968e+06
2.510000000000000000e+02,1.623726413595530382e-01,3.294008413451752614e-04,2.273530963728232976e-02,4.581670267284871367e-01,3.162277660168379134e-02,1.903827701960081467e+06
2.500000000000000000e+02,1.640602989671377521e-01,3.342198689958872045e-04,2.289850935496608175e-02,4.615566930259081269e-01,3.162277660168379134e-02,1.896959819121105131e+06
2.490000000000000000e+02,1.657562502595658627e-01,3.391111854092042246e-04,2.306341980373349115e-02,4.649630172187866339e-01,3.162277660168379134e-02,1.890093859553677496e+06
2.480000000000000000e+02,1.674605835830420275e-01,3.440760750384866179e-04,2.323006398353949856e-02,4.683861767507882523e-01,3.162277660168379134e-02,1.883229852533518570e+06
2.470000000000000000e+02,1.691733884968219526e-01,3.491158488346092037e-04,2.339846526303512170e-02,4.718263515019961996e-01,3.162277660168379134e-02,1.876367827726364136e+06
2.460000000000000000e+02,1.708947557932101180e-01,3.542318448641798546e-04,2.356864738623094466e-02,4.752837238290763544e-01,3.162277660168379134e-02,1.869507815194805153e+06
2.450000000000000000e+02,1.726247775179317323e-01,3.594254289436717284e-04,2.374063447928886211e-02,4.787584786061946929e-01,3.162277660168379134e-02,1.862649845405264059e+06
2.440000000000000000e+02,1.743635469908914604e-01,3.646979952899152442e-04,2.391445105744421581e-02,4.822508032667109923e-01,3.162277660168379134e-02,1.855793949235119624e+06
2.430000000000000000e+02,1.761111588273176487e-01,3.697755597178251238e-04,2.409012203206097394e-02,4.853993641940457238e-01,3.162277660168379134e-02,1.848940157979969401e+06
2.420000000000000000e+02,1.778677089593100613e-01,3.748995768653782634e-04,2.426767271782231949e-02,4.885250310209182101e-01,3.162277660168379134e-02,1.842088503361051437e+06
2.410000000000000000e+02,1.796332946577942902e-01,3.801007473790853465e-04,2.444712884005901740e-02,4.916667760512709595e-01,3.162277660168379134e-02,1.835239017532814294e+06
2.400000000000000000e+02,1.814080145548911116e-01,3.853804586811070392e-04,2.462851654221821091e-02,4.948247747945542230e-01,3.162277660168379134e-02,1.828391733090644935e+06
2.390000000000000000e+02,1.831919686667100033e-01,3.907401272092458932e-04,2.481186239347516614e-02,4.979992052229361699e-01,3.162277660168379134e-02,1.821546683078761213e+06
2.380000000000000000e+02,1.849852584165725122e-01,3.961811991025541665e-04,2.499719339649055655e-02,5.011902478126275540e-01,3.162277660168379134e-02,1.814703900998260826e+06
2.370000000000000000e+02,1.867879866586868165e-01,4.017051509047722701e-04,2.518453699531578507e-02,5.043980855860086265e-01,3.162277660168379134e-02,1.807863420815347927e+06
2.360000000000000000e+02,1.886002577022585780e-01,4.073134902860660539e-04,2.537392108344908859e-02,5.076229041545333720e-01,3.162277660168379134e-02,1.801025276969725266e+06
2.350000000000000000e+02,1.904221773360761094e-01,4.130077567836094778e-04,2.556537401204504734e-02,5.108648917624770691e-01,3.162277660168379134e-02,1.794189504383166553e+06
2.340000000000000000e+02,1.922538528535520652e-01,4.187467787258898752e-04,2.575892459828007380e-02,5.140717651391276677e-01,3.162277660168379134e-02,1.787356138468269492e+06
2.330000000000000000e+02,1.940953930782554349e-01,4.243209792293364552e-04,2.595460213387690632e-02,5.169876025979638356e-01,3.162277660168379134e-02,1.780525215137389023e+06
2.320000000000000000e+02,1.959469083899218755e-01,4.299797856519407867e-04,2.615243639379026541e-02,5.199192342989414906e-01,3.162277660168379134e-02,1.773696770811767783e+06
2.310000000000000000e+02,1.978085107509701956e-01,4.357247424318070228e-04,2.635245764505700708e-02,5.228668375198687324e-01,3.162277660168379134e-02,1.766870842430852121e+06
2.300000000000000000e+02,1.996803137335210199e-01,4.415574268225895072e-04,2.655469665581327784e-02,5.258305920873055372e-01,3.162277660168379134e-02,1.760047467461812776e+06
2.290000000000000000e+02,2.015624325469421718e-01,4.474794496797111949e-04,2.675918470448118355e-02,5.288106804201779809e-01,3.162277660168379134e-02,1.753226683909266256e+06
2.280000000000000000e+02,2.034549840659170272e-01,4.534924562672059301e-04,2.696595358912841009e-02,5.318072875742211325e-01,3.162277660168379134e-02,1.746408530325202737e+06
2.270000000000000000e+02,2.053580868590538233e-01,4.595981270857537313e-04,2.717503563700284647e-02,5.348206012872779302e-01,3.162277660168379134e-02,1.739593045819131890e+06
2.260000000000000000e+02,2.072718612180520226e-01,4.657981787225178656e-04,2.738646371424564505e-02,5.378508120254800184e-01,3.162277660168379134e-02,1.732780270068440121e+06
2.250000000000000000e+02,2.091964291874229553e-01,4.720943647233679318e-04,2.760027123578522729e-02,5.408981130303072149e-01,3.162277660168379134e-02,1.725970243328975281e+06
2.240000000000000000e+02,2.111319145947910536e-01,4.782383030530939290e-04,2.781649217541485794e-02,5.436782943171659666e-01,3.162277660168379134e-02,1.719163006445863517e+06
2.230000000000000000e+02,2.130784430817775355e-01,4.844402037647294718e-04,2.803516107605724672e-02,5.464332556879558656e-01,3.162277660168379134e-02,1.712358600864550564e+06
2.220000000000000000e+02,2.150361421354805014e-01,4.907374553476123594e-04,2.825631306021828687e-02,5.492040269890907656e-01,3.162277660168379134e-02,1.705557068642092869e+06
2.210000000000000000e+02,2.170051411205683178e-01,4.971318304774013062e-04,2.847998384063305660e-02,5.519907913130177590e-01,3.162277660168379134e-02,1.698758452458689688e+06
2.200000000000000000e+02,2.189855713119903124e-01,5.036251401765110816e-04,2.870620973110694571e-02,5.547937344558434569e-01,3.162277660168379134e-02,1.691962795629468281e+06
2.190000000000000000e+02,2.209775659283224614e-01,5.102192347462220423e-04,2.893502765755453371e-02,5.576130449645289033e-01,3.162277660168379134e-02,1.685170142116524978e+06
2.180000000000000000e+02,2.229812601657646665e-01,5.169160047234282141e-04,2.916647516923891181e-02,5.604489141850063083e-01,3.162277660168379134e-02,1.678380536541235400e+06
2.170000000000000000e+02,2.249967912327892894e-01,5.237173818626960188e-04,2.940059045021448797e-02,5.633015363112184870e-01,3.162277660168379134e-02,1.671594024196827319e+06
2.160000000000000000e+02,2.270242983854729446e-01,5.306075390349941547e-04,2.963741233097530459e-02,5.661521148570753947e-01,3.162277660168379134e-02,1.664810651061240351e+06
2.150000000000000000e+02,2.290639229635045293e-01,5.373456074548502550e-04,2.987698030031245983e-02,5.687442282198477139e-01,3.162277660168379134e-02,1.658030463810261805e+06
2.140000000000000000e+02,2.311158084269014090e-01,5.441881316391771264e-04,3.011933451738227005e-02,5.713519236682337299e-01,3.162277660168379134e-02,1.651253509830958676e+06
2.130000000000000000e+02,2.331801003934347305e-01,5.511370781363831520e-04,3.036451582398840346e-02,5.739753862646094218e-01,3.162277660168379134e-02,1.644479837235403480e+06
2.120000000000000000e+02,2.352569466767860384e-01,5.581944565485747996e-04,3.061256575708005273e-02,5.766148038620843019e-01,3.162277660168379134e-02,1.637709494874711148e+06
2.110000000000000000e+02,2.373464973254429400e-01,5.653623205868401952e-04,3.086352656146877302e-02,5.792703671539330967e-01,3.162277660168379134e-02,1.630942532353383489e+06
2.100000000000000000e+02,2.394489046623562989e-01,5.726427691544498178e-04,3.111744120276626127e-02,5.819422697239947651e-01,3.162277660168379134e-02,1.624179000043978449e+06
